NAME,LINKS
Ivalon apteekki,http://www.iapteekki.fi/
Janakkalan 1. apteekki (Turengin apteekki),https://janakkalan-turengin-apteekki.eapteekki.fi/
Kangasalan 1. apteekki,https://www.laakeverkkokauppa.fi/
Kauhavan 1. apteekki (Kauhavan Ykkösapteekki),http://www.ykkosapteekki.fi/
Kouvolan 10. apteekki (Inkeroisten apteekki),"https://kouvolan-inkeroisten-apteekki.eapteekki.fi/
http://www.inkeroistenverkkoapteekki.fi/"
Lahden 5. apteekki (Lähiapteekki Syke),http://www.etuapteekki.fi/
Lempäälän 3. apteekki (Apteekki Ideapark),https://apteekki-ideapark.eapteekki.fi/
Loimaan 2. apteekki (Loimaan Uusi apteekki),http://loimaan-uusi.eapteekki.fi/
Lopen apteekki,https://lopen-apteekki.eapteekki.fi/
Porin 9. apteekki (Porin Karhu Apteekki),https://www.karhuapteekki.fi/
Porvoon 2. apteekki (Porvoon Uusi apteekki/Apteekkipiste),https://www.apteekkipiste.fi/
Seinäjoen 2. apteekki (Keskus-apteekki),https://www.aitoapteekki.fi/
Tampereen 12. apteekki (Koivu apteekki),https://tampereen-koivu-apteekki.eapteekki.fi/
Turun 18. apteekki (Hirvensalon apteekki),https://saaristoapteekki.fi/
Äänekosken 2. apteekki (Suolahden apteekki),"https://www.viherapteekki.fi/
https://suolahden-apteekki.eapteekki.fi/"
